web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
James,CHE,DEF,5.5,2.294,87.187,2.294,0.417,51.5,0.499,0.61,0.135,0.0,0.217,0.936,0.0,-0.104,0.05,0.126,6.369,0.252,3.0,9.4,a,
C.Jones,LIV,MID,5.5,2.278,86.548,2.283,0.414,50.605,0.49,0.187,0.409,0.0,0.139,0.92,0.194,-0.062,0.11,0.129,10.347,0.314,2.833,0.1,d,DOUBT-75%
Buendía,AVL,MID,6.0,2.24,85.106,2.24,0.373,46.132,0.701,0.13,0.277,0.0,0.203,0.839,0.229,-0.139,0.163,0.118,9.564,0.239,3.0,1.4,a,PEN
Brobbey,SUN,FWD,6.0,2.213,84.082,2.213,0.369,50.526,0.883,0.0,0.001,0.0,0.278,0.919,0.269,-0.137,0.333,0.036,3.698,0.263,3.0,14.6,a,
Darlow,MUN,GK,4.5,2.212,84.062,2.218,0.492,52.105,0.002,0.665,0.0,0.553,0.075,0.947,0.0,-0.03,0.0,0.002,0.0,0.271,2.833,0.0,d,"NEW-CLUB, GK-RISK, DOUBT-75%"
Romero,TOT,DEF,5.0,2.212,84.06,2.212,0.442,49.184,0.425,0.522,0.494,0.0,0.198,0.894,0.0,-0.322,0.065,0.059,9.111,0.226,3.0,0.4,u,
Beto,EVE,FWD,5.5,2.204,83.752,2.212,0.401,40.816,0.99,0.0,0.005,0.0,0.312,0.742,0.228,-0.073,0.51,0.024,4.96,0.259,2.833,2.9,a,
Bentancur,TOT,MID,5.5,2.163,82.198,2.163,0.393,49.474,0.281,0.131,0.629,0.0,0.105,0.9,0.279,-0.161,0.058,0.061,12.014,0.226,3.0,0.2,a,
Lewis-Potter,BRE,MID,5.5,2.091,79.449,2.084,0.38,51.579,0.636,0.153,0.003,0.0,0.123,0.938,0.28,-0.042,0.136,0.118,4.467,0.252,3.167,0.5,a,
Hudson-Odoi,NFO,MID,6.0,2.089,79.399,2.089,0.348,48.368,0.63,0.129,0.02,0.0,0.171,0.879,0.281,-0.021,0.134,0.143,5.871,0.227,3.0,0.2,a,
